Layer,Sparsity,Compression Ratio,Compressed Size,Actual Size
Conv Layer 1,0.3546625876913265,2.102407022129959,15274226,32112640
Conv Layer 2,0.28080307318239794,1.779627812935761,18044582,32112640
Conv Layer 3,0.25775628122342686,1.799155659719841,53546184,96337920
Conv Layer 4,0.3081370243409864,1.7155199751096433,14039172,24084480
Conv Layer 5,0.2595931211026077,1.5339307587112079,23551728,36126720
Conv Layer 6,0.40180298681972787,1.7414532819131368,20745156,36126720
Conv Layer 7,0.39530164930555556,1.7569770675437857,20561862,36126720
Conv Layer 8,0.2707952451814059,1.3885616715726203,6504342,9031680
Conv Layer 9,0.21131550276360545,1.2579892004374982,9572610,12042240
Conv Layer 10,0.5194116709183674,1.9615701500647817,6139082,12042240
Conv Layer 11,0.27986221832482994,1.4134920657278318,8519496,12042240
Conv Layer 12,0.5645428093112245,2.009179776461932,5993610,12042240
Conv Layer 13,0.38189240539965985,1.6692907360785008,7213986,12042240
Conv Layer 14,0.18127923044217686,1.1726962946573949,2567212,3010560
Conv Layer 15,0.21556653911564627,1.1831943764310648,5088868,6021120
Conv Layer 16,0.515077593537415,1.9933549537905764,3020596,6021120
Conv Layer 17,0.32842926232993197,1.3343947407146062,4512248,6021120
Conv Layer 18,0.5119393069727891,1.936932097101383,3108586,6021120
Conv Layer 19,0.42256988732993195,1.5292797517846322,3937226,6021120
Conv Layer 20,0.5219414328231292,2.3800135026807725,2529868,6021120
Conv Layer 21,0.33472310799319727,1.39063211642553,4329772,6021120
Conv Layer 22,0.39192841198979594,1.692260388742772,3558034,6021120
Conv Layer 23,0.47459608843537415,1.9087907238614057,4731624,9031680
Conv Layer 24,0.5523313492063492,2.5607214731134564,3527006,9031680
Conv Layer 25,0.5066423965419501,2.334884807923585,3868148,9031680
Conv Layer 26,0.5452425240929705,2.623863712294422,3442130,9031680
Conv Layer 27,0.6343448837868481,2.9436834372176643,3068156,9031680
Conv Layer 28,0.18467261904761906,1.832221627148352,1232340,2257920
Conv Layer 29,0.37154336734693877,1.970946967951162,1909336,3763200
Conv Layer 30,0.5186309523809524,2.5004152741141374,1505030,3763200
Conv Layer 31,0.4527210884353742,2.309082809629523,1629738,3763200
Conv Layer 32,0.5144366496598639,2.6930282684956053,1397386,3763200
Conv Layer 33,0.7167410714285715,4.9613057177888225,758510,3763200
Conv Layer 34,0.07065263605442176,1.1533970227203767,3262710,3763200
Conv Layer 35,0.5687436224489796,1.885239926989034,2661518,5017600
