Layer,Sparsity,Compression Ratio,Compressed Size,Actual Size
Conv Layer 1,0.3278005171795281,1.9808599642820661,32422928,64225280
Conv Layer 2,0.40683793048469385,2.14681768966053,7479126,16056320
Conv Layer 3,0.172396165497449,1.5364502543953409,10450270,16056320
Conv Layer 4,0.49220444036989797,2.254198810869245,7122850,16056320
Conv Layer 5,0.15515236367984694,1.422836495985813,11284726,16056320
Conv Layer 6,0.6301433952487245,2.66444346500847,6026144,16056320
Conv Layer 7,0.14951072225765305,1.3323234341528696,12051368,16056320
Conv Layer 8,0.5839704241071428,1.8534227612770724,4331532,8028160
Conv Layer 9,0.3706552933673469,1.572111439878902,5106610,8028160
Conv Layer 10,0.649022441007653,2.773378583504737,2894722,8028160
Conv Layer 11,0.34033203125,1.5736843198851476,5101506,8028160
Conv Layer 12,0.7699956154336735,3.5956505498620084,2232742,8028160
Conv Layer 13,0.3423618861607143,1.5627233668815141,5137288,8028160
Conv Layer 14,0.8279755261479592,4.490856244000564,1787668,8028160
Conv Layer 15,0.29727758290816325,1.5389304454873316,5216714,8028160
Conv Layer 16,0.6262555803571429,2.363136279718172,1698624,4014080
Conv Layer 17,0.44828204719387754,1.8216092830335953,2203590,4014080
Conv Layer 18,0.7621731505102041,3.708801159000362,1082312,4014080
Conv Layer 19,0.4074298469387755,1.8059574713140125,2222688,4014080
Conv Layer 20,0.8298190369897959,5.040952211118004,796294,4014080
Conv Layer 21,0.3914700255102041,1.8657070907541042,2151506,4014080
Conv Layer 22,0.844872050382653,5.784076958103022,693988,4014080
Conv Layer 23,0.4101921237244898,1.8382752979925006,2183612,4014080
Conv Layer 24,0.8499481823979592,6.334773647614329,633658,4014080
Conv Layer 25,0.4719905931122449,2.0275035937719403,1979814,4014080
Conv Layer 26,0.8446807238520408,5.465318926455211,734464,4014080
Conv Layer 27,0.5893195950255102,2.677174176922071,1499372,4014080
Conv Layer 28,0.7862563775510204,3.625616902589004,553572,2007040
Conv Layer 29,0.5923150510204082,2.320180894205559,865036,2007040
Conv Layer 30,0.8156608737244898,4.3951577582733306,456648,2007040
Conv Layer 31,0.48359375,2.0316555385045207,987884,2007040
Conv Layer 32,0.7825613839285714,3.6963015621028905,542986,2007040
Conv Layer 33,0.4221261160714286,1.8407030299917642,1090366,2007040
