Layer,Sparsity,Compression Ratio,Compressed Size,Actual Size
Conv Layer 1,0.3892586843600357,2.6963290767220967,23396076,63083520
Conv Layer 2,0.13283471074380165,1.3529662527167645,2861860,3872000
Conv Layer 3,0.3184101239669421,1.7358215833633694,8922576,15488000
Conv Layer 4,0.4883068181818182,2.3202349717296267,6675186,15488000
Conv Layer 5,0.09383264462809918,1.1417214871865942,3391370,3872000
Conv Layer 6,0.363040805785124,1.810765214321039,8553290,15488000
Conv Layer 7,0.6808367768595042,2.9470314480678943,5255458,15488000
Conv Layer 8,0.11487911522633745,1.2208706710785064,1528614,1866240
Conv Layer 9,0.39789844821673526,1.710572748195926,4364012,7464960
Conv Layer 10,0.5974526320301783,2.645186620422013,2822092,7464960
Conv Layer 11,0.1850522976680384,1.2662553110068624,1473826,1866240
Conv Layer 12,0.43753858024691356,1.9003290527120755,3928246,7464960
Conv Layer 13,0.774576688957476,4.129740375412838,1807610,7464960
Conv Layer 14,0.15359960552268245,1.1942671642779852,543396,648960
Conv Layer 15,0.5073594674556213,1.9379258137774413,1339494,2595840
Conv Layer 16,0.6297306459566075,2.687683521289505,965828,2595840
Conv Layer 17,0.16072485207100592,1.2796971131093233,507120,648960
Conv Layer 18,0.5442615877712031,2.2708178422401653,1143130,2595840
Conv Layer 19,0.6853242110453649,3.0389847573111055,854180,2595840
Conv Layer 20,0.3189903846153846,1.6543601705447106,523030,865280
Conv Layer 21,0.6489159578402367,2.8870863877053257,1198828,3461120
Conv Layer 22,0.7668685281065089,4.08438005957017,847404,3461120
Conv Layer 23,0.28492973372781066,1.5297308191400214,565642,865280
Conv Layer 24,0.8774292714497042,6.829872800249427,506762,3461120
Conv Layer 25,0.9079604289940828,9.164596914701505,377662,3461120
Conv Layer 26,0.26864792899408285,1.4833839058990403,9114296,13520000
