Layer,Sparsity,Compression Ratio,Compressed Size,Actual Size
Conv Layer 1,0.6966261571767379,6.516006961672502,39426158,256901120
Conv Layer 2,0.422881488410794,2.618101920051934,98124950,256901120
Conv Layer 3,0.536480712890625,2.7638088713467104,46475920,128450560
Conv Layer 4,0.5633997703085141,2.6437299889344588,48586868,128450560
Conv Layer 5,0.5847790776466837,2.6468936093118813,24264398,64225280
Conv Layer 6,0.6162596410634567,2.5489622861589707,25196638,64225280
Conv Layer 7,0.7199692083864796,3.2815713377542512,19571502,64225280
Conv Layer 8,0.7435519471460459,3.5304304462334692,9095956,32112640
Conv Layer 9,0.7654922173947704,4.229746304577813,7592096,32112640
Conv Layer 10,0.8505376076211735,6.572101135318486,4886206,32112640
Conv Layer 11,0.7639419244260204,5.20042079297711,1543752,8028160
Conv Layer 12,0.7947564572704081,5.2438662749304035,1530962,8028160
Conv Layer 13,0.8542819276147959,6.452560798982786,1244182,8028160
