Layer,Sparsity,Compression Ratio,Compressed Size,Actual Size
Conv Layer 1,0.3546625876913265,1.4243867612028056,22544888,32112640
Conv Layer 2,0.28080307318239794,1.388568236183347,23126440,32112640
Conv Layer 3,0.25775628122342686,1.2870395921912177,74852336,96337920
Conv Layer 4,0.3081370243409864,1.4103956337401327,17076400,24084480
Conv Layer 5,0.2595931211026077,1.2045227216349654,29992560,36126720
Conv Layer 6,0.40180298681972787,1.5229780199100345,23721104,36126720
Conv Layer 7,0.39530164930555556,1.4502437337199074,24910792,36126720
Conv Layer 8,0.2707952451814059,1.253228927191369,7206728,9031680
Conv Layer 9,0.21131550276360545,1.1200191669946733,10751816,12042240
Conv Layer 10,0.5194116709183674,1.7753895400060624,6782872,12042240
Conv Layer 11,0.27986221832482994,1.2250957106023908,9829632,12042240
Conv Layer 12,0.5645428093112245,1.8944467167982884,6356600,12042240
Conv Layer 13,0.38189240539965985,1.4117554375299532,8529976,12042240
Conv Layer 14,0.18127923044217686,1.112214498510427,2706816,3010560
Conv Layer 15,0.21556653911564627,1.1225189860579992,5363936,6021120
Conv Layer 16,0.515077593537415,1.7496826747381196,3441264,6021120
Conv Layer 17,0.32842926232993197,1.2899687380025229,4667648,6021120
Conv Layer 18,0.5119393069727891,1.7281371047549945,3484168,6021120
Conv Layer 19,0.42256988732993195,1.4742528740135117,4084184,6021120
Conv Layer 20,0.5219414328231292,1.8823811881931,3198672,6021120
Conv Layer 21,0.33472310799319727,1.3093945720250522,4598400,6021120
Conv Layer 22,0.39192841198979594,1.4561297949028493,4135016,6021120
Conv Layer 23,0.47459608843537415,1.6361644280323013,5520032,9031680
Conv Layer 24,0.5523313492063492,1.980982595161599,4559192,9031680
Conv Layer 25,0.5066423965419501,1.9338990773826858,4670192,9031680
Conv Layer 26,0.5452425240929705,1.9739996328125684,4575320,9031680
Conv Layer 27,0.6343448837868481,2.3428433870954355,3855008,9031680
Conv Layer 28,0.18467261904761906,1.4787182765052287,1526944,2257920
Conv Layer 29,0.37154336734693877,1.614918773430741,2330272,3763200
Conv Layer 30,0.5186309523809524,1.9980715890700727,1883416,3763200
Conv Layer 31,0.4527210884353742,1.8650902213605167,2017704,3763200
Conv Layer 32,0.5144366496598639,2.072566254708876,1815720,3763200
Conv Layer 33,0.7167410714285715,3.294555998347119,1142248,3763200
Conv Layer 34,0.07065263605442176,0.9546791251210093,3941848,3763200
Conv Layer 35,0.5687436224489796,1.853674395235773,2706840,5017600
