Layer,Sparsity,Compression Ratio,Compressed Size,Actual Size
Conv Layer 1,0.3278005171795281,1.3305017920315336,48271472,64225280
Conv Layer 2,0.40683793048469385,1.5162909256291877,10589208,16056320
Conv Layer 3,0.172396165497449,1.092457512305551,14697432,16056320
Conv Layer 4,0.49220444036989797,1.693217394825624,9482728,16056320
Conv Layer 5,0.15515236367984694,1.0791680624238158,14878424,16056320
Conv Layer 6,0.6301433952487245,2.1763703160716377,7377568,16056320
Conv Layer 7,0.14951072225765305,1.0750771340418237,14935040,16056320
Conv Layer 8,0.5839704241071428,1.9535365412093582,4109552,8028160
Conv Layer 9,0.3706552933673469,1.3979541658482495,5742792,8028160
Conv Layer 10,0.649022441007653,2.2651543366627167,3544200,8028160
Conv Layer 11,0.34033203125,1.3745474767591734,5840584,8028160
Conv Layer 12,0.7699956154336735,3.0101114933874853,2667064,8028160
Conv Layer 13,0.3423618861607143,1.3743498160722454,5841424,8028160
Conv Layer 14,0.8279755261479592,3.5950161566514534,2233136,8028160
Conv Layer 15,0.29727758290816325,1.320606980193264,6079144,8028160
Conv Layer 16,0.6262555803571429,2.1783828841344817,1842688,4014080
Conv Layer 17,0.44828204719387754,1.5864373768895381,2530248,4014080
Conv Layer 18,0.7621731505102041,2.950279881461969,1360576,4014080
Conv Layer 19,0.4074298469387755,1.544951258413543,2598192,4014080
Conv Layer 20,0.8298190369897959,3.6363372830380114,1103880,4014080
Conv Layer 21,0.3914700255102041,1.5734529980463543,2551128,4014080
Conv Layer 22,0.844872050382653,3.88491436712193,1033248,4014080
Conv Layer 23,0.4101921237244898,1.5907376056507707,2523408,4014080
Conv Layer 24,0.8499481823979592,4.069853269201133,986296,4014080
Conv Layer 25,0.4719905931122449,1.7419984238136073,2304296,4014080
Conv Layer 26,0.8446807238520408,3.821419323391875,1050416,4014080
Conv Layer 27,0.5893195950255102,2.188167775810489,1834448,4014080
Conv Layer 28,0.7862563775510204,3.152867842959835,636576,2007040
Conv Layer 29,0.5923150510204082,2.0453952517610228,981248,2007040
Conv Layer 30,0.8156608737244898,3.4171456591026725,587344,2007040
Conv Layer 31,0.48359375,1.7289429796149023,1160848,2007040
Conv Layer 32,0.7825613839285714,3.048767149922833,658312,2007040
Conv Layer 33,0.4221261160714286,1.5458270433469916,1298360,2007040
