Layer,Sparsity,Compression Ratio,Compressed Size,Actual Size
Conv Layer 1,0.3892586843600357,1.8548198161325742,34010592,63083520
Conv Layer 2,0.13283471074380165,1.046794300594337,3698912,3872000
Conv Layer 3,0.3184101239669421,1.2998802176493653,11914944,15488000
Conv Layer 4,0.4883068181818182,1.7310923317795825,8946952,15488000
Conv Layer 5,0.09383264462809918,0.9946261418164257,3892920,3872000
Conv Layer 6,0.363040805785124,1.4246848730992856,10871176,15488000
Conv Layer 7,0.6808367768595042,2.443873590133618,6337480,15488000
Conv Layer 8,0.11487911522633745,1.0177433217138645,1833704,1866240
Conv Layer 9,0.39789844821673526,1.4408716383985374,5180864,7464960
Conv Layer 10,0.5974526320301783,2.052500296947381,3637008,7464960
Conv Layer 11,0.1850522976680384,1.1009641931784395,1695096,1866240
Conv Layer 12,0.43753858024691356,1.5397384596345036,4848200,7464960
Conv Layer 13,0.774576688957476,3.057334857981632,2441656,7464960
Conv Layer 14,0.15359960552268245,1.052058205587114,616848,648960
Conv Layer 15,0.5073594674556213,1.6898679790641356,1536120,2595840
Conv Layer 16,0.6297306459566075,2.17681233312313,1192496,2595840
Conv Layer 17,0.16072485207100592,1.0754056633789373,603456,648960
Conv Layer 18,0.5442615877712031,1.8537159440823112,1400344,2595840
Conv Layer 19,0.6853242110453649,2.442968785291593,1062576,2595840
Conv Layer 20,0.3189903846153846,1.342118651428855,644712,865280
Conv Layer 21,0.6489159578402367,2.3138303561878275,1495840,3461120
Conv Layer 22,0.7668685281065089,2.9963708895476078,1155104,3461120
Conv Layer 23,0.28492973372781066,1.2646298829609364,684216,865280
Conv Layer 24,0.8774292714497042,4.263429151433329,811816,3461120
Conv Layer 25,0.9079604289940828,4.797782090379817,721400,3461120
Conv Layer 26,0.26864792899408285,1.2879860623141375,10497008,13520000
