Layer,Sparsity,Compression Ratio,Compressed Size,Actual Size
Conv Layer 1,0.6966261571767379,3.2679322324634796,78612744,256901120
Conv Layer 2,0.422881488410794,1.7493861445081174,146852152,256901120
Conv Layer 3,0.536480712890625,1.9477826096661275,65947072,128450560
Conv Layer 4,0.5633997703085141,2.006706385063483,64010640,128450560
Conv Layer 5,0.5847790776466837,2.054197703121126,31265384,64225280
Conv Layer 6,0.6162596410634567,2.095282289814986,30652328,64225280
Conv Layer 7,0.7199692083864796,2.640354855567772,24324488,64225280
Conv Layer 8,0.7435519471460459,2.8346621282846187,11328560,32112640
Conv Layer 9,0.7654922173947704,3.0853283034414485,10408176,32112640
Conv Layer 10,0.8505376076211735,4.057819233518091,7913768,32112640
Conv Layer 11,0.7639419244260204,3.628448494052139,2212560,8028160
Conv Layer 12,0.7947564572704081,3.545167751804343,2264536,8028160
Conv Layer 13,0.8542819276147959,3.96145601825352,2026568,8028160
