Layer,Sparsity,Compression Ratio,Compressed Size,Actual Size
Conv Layer 1,0.3546625876913265,1.516462560786331,21176019,32112640
Conv Layer 2,0.28080307318239794,1.4531041608576691,22099338,32112640
Conv Layer 3,0.25775628122342686,1.26841454383351,75951447,96337920
Conv Layer 4,0.3081370243409864,1.3155047143714607,18308167,24084480
Conv Layer 5,0.2595931211026077,1.1573060786125315,31216219,36126720
Conv Layer 6,0.40180298681972787,1.3884669986427685,26019142,36126720
Conv Layer 7,0.39530164930555556,1.3471137471810306,26817869,36126720
Conv Layer 8,0.2707952451814059,1.158601813625009,7795327,9031680
Conv Layer 9,0.21131550276360545,1.0786953582089391,11163708,12042240
Conv Layer 10,0.5194116709183674,1.622206625831664,7423370,12042240
Conv Layer 11,0.27986221832482994,1.1486026852464057,10484252,12042240
Conv Layer 12,0.5645428093112245,1.7417197642925348,6913994,12042240
Conv Layer 13,0.38189240539965985,1.3034376318822154,9238831,12042240
Conv Layer 14,0.18127923044217686,1.0477387669190517,2873388,3010560
Conv Layer 15,0.21556653911564627,1.0726535969788862,5613294,6021120
Conv Layer 16,0.515077593537415,1.6064626482866742,3748061,6021120
Conv Layer 17,0.32842926232993197,1.2028431360797804,5005740,6021120
Conv Layer 18,0.5119393069727891,1.6082880340786798,3743807,6021120
Conv Layer 19,0.42256988732993195,1.3535409530707638,4448421,6021120
Conv Layer 20,0.5219414328231292,1.798330551715981,3348172,6021120
Conv Layer 21,0.33472310799319727,1.1944251747513748,5041019,6021120
Conv Layer 22,0.39192841198979594,1.3481980721218974,4466050,6021120
Conv Layer 23,0.47459608843537415,1.5121122270793534,5972890,9031680
Conv Layer 24,0.5523313492063492,1.9294858182467634,4680874,9031680
Conv Layer 25,0.5066423965419501,1.7909016513880078,5043091,9031680
Conv Layer 26,0.5452425240929705,1.953738961968016,4622767,9031680
Conv Layer 27,0.6343448837868481,2.288207863383678,3947054,9031680
Conv Layer 28,0.18467261904761906,1.3635284874624005,1655939,2257920
Conv Layer 29,0.37154336734693877,1.482057347018104,2539173,3763200
Conv Layer 30,0.5186309523809524,1.9041759095840283,1976288,3763200
Conv Layer 31,0.4527210884353742,1.7526480438497338,2147151,3763200
Conv Layer 32,0.5144366496598639,2.0353833921974807,1848890,3763200
Conv Layer 33,0.7167410714285715,3.8475970410964506,978065,3763200
Conv Layer 34,0.07065263605442176,0.944539431609743,3984164,3763200
Conv Layer 35,0.5687436224489796,1.7581345609253753,2853934,5017600
