Layer,Sparsity,Compression Ratio,Compressed Size,Actual Size
Conv Layer 1,0.3278005171795281,1.3744762300005218,46727094,64225280
Conv Layer 2,0.40683793048469385,1.5237518243423234,10537359,16056320
Conv Layer 3,0.172396165497449,1.0855110220508624,14791485,16056320
Conv Layer 4,0.49220444036989797,1.6759559496242065,9580395,16056320
Conv Layer 5,0.15515236367984694,1.0476730683113467,15325697,16056320
Conv Layer 6,0.6301433952487245,2.1048602215040693,7628212,16056320
Conv Layer 7,0.14951072225765305,1.0289987815810326,15603828,16056320
Conv Layer 8,0.5839704241071428,1.6216925947816798,4950482,8028160
Conv Layer 9,0.3706552933673469,1.267703958811496,6332835,8028160
Conv Layer 10,0.649022441007653,2.2037518484327676,3642951,8028160
Conv Layer 11,0.34033203125,1.2574579806266364,6384436,8028160
Conv Layer 12,0.7699956154336735,3.038919577360879,2641781,8028160
Conv Layer 13,0.3423618861607143,1.254668185324613,6398632,8028160
Conv Layer 14,0.8279755261479592,3.8575632295252427,2081148,8028160
Conv Layer 15,0.29727758290816325,1.2113475716646884,6627462,8028160
Conv Layer 16,0.6262555803571429,1.940540584964156,2068537,4014080
Conv Layer 17,0.44828204719387754,1.4346544710362117,2797942,4014080
Conv Layer 18,0.7621731505102041,3.07331164550585,1306109,4014080
Conv Layer 19,0.4074298469387755,1.4049235042447865,2857152,4014080
Conv Layer 20,0.8298190369897959,4.191252631227238,957728,4014080
Conv Layer 21,0.3914700255102041,1.4296765590429692,2807684,4014080
Conv Layer 22,0.844872050382653,4.734333019604513,847866,4014080
Conv Layer 23,0.4101921237244898,1.4470367700072098,2774000,4014080
Conv Layer 24,0.8499481823979592,5.153365411773164,778924,4014080
Conv Layer 25,0.4719905931122449,1.598500131811908,2511154,4014080
Conv Layer 26,0.8446807238520408,4.578989995779291,876630,4014080
Conv Layer 27,0.5893195950255102,2.0917168828515984,1919036,4014080
Conv Layer 28,0.7862563775510204,3.1430719118015533,638560,2007040
Conv Layer 29,0.5923150510204082,1.8773788310345956,1069065,2007040
Conv Layer 30,0.8156608737244898,3.7629977388715354,533362,2007040
Conv Layer 31,0.48359375,1.6097749167256852,1246783,2007040
Conv Layer 32,0.7825613839285714,3.2396589628778316,619522,2007040
Conv Layer 33,0.4221261160714286,1.471120939563569,1364293,2007040
