Layer,Sparsity,Compression Ratio,Compressed Size,Actual Size
Conv Layer 1,0.3892586843600357,1.9861574314712382,31761591,63083520
Conv Layer 2,0.13283471074380165,1.0391205261728482,3726228,3872000
Conv Layer 3,0.3184101239669421,1.3133389463422858,11792843,15488000
Conv Layer 4,0.4883068181818182,1.7399611834072772,8901348,15488000
Conv Layer 5,0.09383264462809918,0.976597229561134,3964787,3872000
Conv Layer 6,0.363040805785124,1.4196951908558724,10909384,15488000
Conv Layer 7,0.6808367768595042,2.46150951180803,6292074,15488000
Conv Layer 8,0.11487911522633745,0.9960462157246185,1873648,1866240
Conv Layer 9,0.39789844821673526,1.4391688133820861,5186994,7464960
Conv Layer 10,0.5974526320301783,2.075053690390879,3597478,7464960
Conv Layer 11,0.1850522976680384,1.0623446677269772,1756718,1866240
Conv Layer 12,0.43753858024691356,1.520237700060484,4910390,7464960
Conv Layer 13,0.774576688957476,3.416343527195659,2185073,7464960
Conv Layer 14,0.15359960552268245,1.0220647295062604,634950,648960
Conv Layer 15,0.5073594674556213,1.6614971037219572,1562350,2595840
Conv Layer 16,0.6297306459566075,2.1539523645150154,1205152,2595840
Conv Layer 17,0.16072485207100592,1.0259701865357223,632533,648960
Conv Layer 18,0.5442615877712031,1.7900023996888679,1450188,2595840
Conv Layer 19,0.6853242110453649,2.4696836212588553,1051082,2595840
Conv Layer 20,0.3189903846153846,1.2535439185126915,690267,865280
Conv Layer 21,0.6489159578402367,2.2826496283980524,1516273,3461120
Conv Layer 22,0.7668685281065089,3.3232164855011583,1041497,3461120
Conv Layer 23,0.28492973372781066,1.1880753092115381,728304,865280
Conv Layer 24,0.8774292714497042,5.8071021702473935,596015,3461120
Conv Layer 25,0.9079604289940828,7.881891861733501,439123,3461120
Conv Layer 26,0.26864792899408285,1.1370728733352122,11890179,13520000
