Layer,Sparsity,Compression Ratio,Compressed Size,Actual Size
Conv Layer 1,0.6966261571767379,4.5660453181132485,56263375,256901120
Conv Layer 2,0.422881488410794,1.8409017653454383,139551781,256901120
Conv Layer 3,0.536480712890625,2.012604095597792,63823064,128450560
Conv Layer 4,0.5633997703085141,1.9886358279336056,64592299,128450560
Conv Layer 5,0.5847790776466837,2.0141621402705634,31886847,64225280
Conv Layer 6,0.6162596410634567,2.0381065395278766,31512229,64225280
Conv Layer 7,0.7199692083864796,2.696493654062344,23818072,64225280
Conv Layer 8,0.7435519471460459,2.8899339752521036,11111894,32112640
Conv Layer 9,0.7654922173947704,3.3561598236838868,9568269,32112640
Conv Layer 10,0.8505376076211735,5.287350719949209,6073484,32112640
Conv Layer 11,0.7639419244260204,4.187221613727638,1917300,8028160
Conv Layer 12,0.7947564572704081,4.163866779664885,1928054,8028160
Conv Layer 13,0.8542819276147959,5.296671700647688,1515699,8028160
